MTU (CET/CEST),Day-ahead Price (SEK/kWh)
7/8/24 12:00:00,0.2450352
7/8/24 13:00:00,0.2314032
7/8/24 14:00:00,0.2227696
7/8/24 15:00:00,0.205616
7/8/24 16:00:00,0.205616
7/8/24 17:00:00,0.1975504
7/8/24 18:00:00,0.226064
7/8/24 19:00:00,0.2031168
7/8/24 20:00:00,0.1672192
7/8/24 21:00:00,0.1379104
7/8/24 22:00:00,0.1009904
7/8/24 23:00:00,0.0560048
8/8/24 0:00:00,0.032944
8/8/24 1:00:00,0.0294224
8/8/24 2:00:00,0.0293088
8/8/24 3:00:00,0.0296496
8/8/24 4:00:00,0.0337392
8/8/24 5:00:00,0.0553232
8/8/24 6:00:00,0.097696
8/8/24 7:00:00,0.1672192
8/8/24 8:00:00,0.1865312
8/8/24 9:00:00,0.1844864
8/8/24 10:00:00,0.1642656
8/8/24 11:00:00,0.1308672
8/8/24 12:00:00,0.126664
8/8/24 13:00:00,0.1048528
8/8/24 14:00:00,0.084632
8/8/24 15:00:00,0.09088
8/8/24 16:00:00,0.0901984
8/8/24 17:00:00,0.1100784
8/8/24 18:00:00,0.1291632
8/8/24 19:00:00,0.1163264
8/8/24 20:00:00,0.0746352
8/8/24 21:00:00,0.0532784
8/8/24 22:00:00,0.0345344
8/8/24 23:00:00,0
9/8/24 0:00:00,0.0320352
9/8/24 1:00:00,0.027832
9/8/24 2:00:00,0.0296496
9/8/24 3:00:00,0.0303312
9/8/24 4:00:00,0.0366928
9/8/24 5:00:00,0.0478256
9/8/24 6:00:00,0.0856544
9/8/24 7:00:00,0.1855088
9/8/24 8:00:00,0.1969824
9/8/24 9:00:00,0.1960736
9/8/24 10:00:00,0.0995136
9/8/24 11:00:00,0.0338528
9/8/24 12:00:00,0.000568
9/8/24 13:00:00,-0.0018176
9/8/24 14:00:00,-0.009088
9/8/24 15:00:00,-0.0012496
9/8/24 16:00:00,-0.0001136
9/8/24 17:00:00,0.0297632
9/8/24 18:00:00,0.0555504
9/8/24 19:00:00,0.0461216
9/8/24 20:00:00,0.038056
9/8/24 21:00:00,0.0186304
9/8/24 22:00:00,-0.0006816
9/8/24 23:00:00,-0.0145408
10/8/24 0:00:00,-0.0092016
10/8/24 1:00:00,-0.0101104
10/8/24 2:00:00,-0.0098832
10/8/24 3:00:00,-0.010224
10/8/24 4:00:00,-0.01136
10/8/24 5:00:00,-0.01136
10/8/24 6:00:00,-0.0093152
10/8/24 7:00:00,-0.0057936
10/8/24 8:00:00,-0.001704
10/8/24 9:00:00,-0.007952
10/8/24 10:00:00,-0.03408
10/8/24 11:00:00,-0.138592
10/8/24 12:00:00,-0.2554864
10/8/24 13:00:00,-0.4631472
10/8/24 14:00:00,-0.4554224
10/8/24 15:00:00,-0.3370512
10/8/24 16:00:00,-0.0923568
10/8/24 17:00:00,0
10/8/24 18:00:00,0.0285136
10/8/24 19:00:00,0.032944
10/8/24 20:00:00,0.032944
10/8/24 21:00:00,0.0333984
10/8/24 22:00:00,0.0248784
10/8/24 23:00:00,0.0048848
11/8/24 0:00:00,0
11/8/24 1:00:00,-0.0001136
11/8/24 2:00:00,-0.0001136
11/8/24 3:00:00,-0.0001136
11/8/24 4:00:00,-0.0001136
11/8/24 5:00:00,-0.0001136
11/8/24 6:00:00,-0.0001136
11/8/24 7:00:00,0.0053392
11/8/24 8:00:00,0.0101104
11/8/24 9:00:00,0
11/8/24 10:00:00,-0.0568
11/8/24 11:00:00,-0.1702864
11/8/24 12:00:00,-0.3639744
11/8/24 13:00:00,-0.6811456
11/8/24 14:00:00,-0.4537184
11/8/24 15:00:00,-0.2786608
11/8/24 16:00:00,-0.0489616
11/8/24 17:00:00,0.0001136
